datetime,open,high,low,close,volume
2020-09-11 13:27:00,386.97501,387.00500,386.97501,387.00500,1975
2020-09-11 13:29:00,386.63910,386.72000,386.54001,386.54001,2354
2020-09-11 13:30:00,386.54501,386.88501,386.54501,386.88501,1421
2020-09-11 13:31:00,387.01501,387.01501,386.67999,386.79001,3049
2020-09-11 13:32:00,386.71979,386.71979,386.58499,386.58499,938
2020-09-11 13:33:00,386.89999,387.09000,386.89999,386.99500,1132
2020-09-11 13:34:00,387.07999,387.32501,387.06000,387.20499,2398
2020-09-11 13:35:00,387.60001,387.70999,387.60001,387.70999,3150
2020-09-11 13:36:00,387.76001,388.07999,387.76001,388.07999,957
2020-09-11 13:37:00,387.96500,388.03000,387.89999,387.98999,1721
2020-09-11 13:38:00,387.90750,388.22000,387.90750,388.22000,3207
2020-09-11 13:39:00,388.14499,388.20499,388.01999,388.20499,2803
2020-09-11 13:40:00,388.04001,388.35999,388.03500,388.35999,3242
2020-09-11 13:41:00,388.19000,388.35999,387.89001,387.94501,2263
2020-09-11 13:42:00,388.20001,388.20001,388.20001,388.20001,1254
2020-09-11 13:44:00,387.90500,387.90500,387.90500,387.90500,541
2020-09-11 13:45:00,387.92001,387.95001,387.87000,387.95001,2462
2020-09-11 13:47:00,387.91791,387.91791,387.73001,387.73001,2253
2020-09-11 13:49:00,387.92999,387.92999,387.76999,387.85999,1064
2020-09-11 13:50:00,387.67001,387.78500,387.67001,387.70999,1355
2020-09-11 13:51:00,387.98001,388.01001,387.98001,388.01001,2678
2020-09-11 13:55:00,387.17999,387.17999,387.17999,387.17999,774
2020-09-11 13:56:00,386.95001,386.95001,386.95001,386.95001,1807
2020-09-11 13:57:00,387.09000,387.09000,387.09000,387.09000,1499
2020-09-11 13:59:00,387.04999,387.04999,387.04999,387.04999,792
2020-09-11 14:00:00,387.00000,387.04999,386.57999,386.76370,4598
2020-09-11 14:01:00,386.45999,386.45999,386.45999,386.45999,736
2020-09-11 14:02:00,386.42999,386.42999,386.42999,386.42999,1001
2020-09-11 14:03:00,386.25000,386.53500,386.25000,386.53500,2895
2020-09-11 14:05:00,386.59000,386.92459,386.59000,386.72000,1122
2020-09-11 14:06:00,386.85889,387.03000,386.85889,387.03000,1531
2020-09-11 14:07:00,387.03000,387.03000,387.03000,387.03000,1842
2020-09-11 14:08:00,386.85001,386.85001,386.85001,386.85001,937
2020-09-11 14:09:00,386.84000,386.89001,386.84000,386.89001,1036
2020-09-11 14:10:00,386.72000,386.72000,386.72000,386.72000,356
2020-09-11 14:11:00,386.73499,386.73499,386.73499,386.73499,732
2020-09-11 14:12:00,386.89999,386.89999,386.81409,386.81409,2375
2020-09-11 14:13:00,387.42001,387.50000,387.42001,387.50000,882
2020-09-11 14:15:00,387.35501,387.35501,387.24759,387.24759,992
2020-09-11 14:16:00,387.29999,387.29999,387.29999,387.29999,845
2020-09-11 14:17:00,387.38000,387.41000,387.23499,387.23499,842
2020-09-11 14:18:00,387.17999,387.23001,387.17999,387.23001,801
2020-09-11 14:19:00,387.31000,387.34561,387.31000,387.34561,2134
2020-09-11 14:20:00,387.07999,387.07999,387.06000,387.06000,947
2020-09-11 14:21:00,387.01999,387.17001,387.01999,387.17001,1724
2020-09-11 14:22:00,387.17999,387.17999,386.94501,386.94501,1211
2020-09-11 14:23:00,387.26990,387.26990,387.26990,387.26990,218
2020-09-11 14:24:00,387.32269,387.32269,387.19501,387.19501,757
2020-09-11 14:25:00,387.34000,387.34000,387.34000,387.34000,572
2020-09-11 14:27:00,387.44000,387.49011,387.44000,387.49011,3484
2020-09-11 14:29:00,387.23999,387.23999,387.20999,387.20999,380
2020-09-11 14:30:00,387.13300,387.34000,387.13300,387.34000,689
2020-09-11 14:31:00,387.64130,387.64130,387.64130,387.64130,405
2020-09-11 14:32:00,387.32001,387.79999,387.32001,387.79999,1110
2020-09-11 14:33:00,387.56161,387.56161,387.56161,387.56161,3243
2020-09-11 14:35:00,387.61499,387.61499,387.61499,387.61499,146
2020-09-11 14:36:00,387.84000,388.00000,387.76999,387.76999,1764
2020-09-11 14:37:00,387.87000,387.97501,387.87000,387.97501,1760
2020-09-11 14:38:00,388.10001,388.14899,387.92999,388.14899,1379
2020-09-11 14:39:00,388.19000,388.26001,388.19000,388.26001,1213
2020-09-11 14:40:00,388.04001,388.45999,388.04001,388.34000,1569
2020-09-11 14:41:00,388.34000,388.34000,388.20801,388.20801,3754
2020-09-11 14:42:00,388.20999,388.22000,388.20999,388.22000,389
2020-09-11 14:43:00,388.23001,388.41000,388.23001,388.39999,1214
2020-09-11 14:44:00,388.44510,388.44510,388.26001,388.26001,2346
2020-09-11 14:45:00,388.17999,388.17999,388.10001,388.10001,1382
2020-09-11 14:46:00,388.19000,388.19000,388.19000,388.19000,423
2020-09-11 14:47:00,388.23001,388.23001,388.23001,388.23001,1044
2020-09-11 14:48:00,388.20001,388.43521,388.20001,388.43521,1577
2020-09-11 14:49:00,388.06000,388.10001,388.06000,388.10001,875
2020-09-11 14:50:00,388.17001,388.17001,388.17001,388.17001,1936
2020-09-11 14:51:00,388.62000,388.62000,388.43231,388.43231,539
2020-09-11 14:52:00,388.63120,388.69000,388.54999,388.69000,3594
2020-09-11 14:53:00,388.89001,388.89001,388.89001,388.89001,1049
2020-09-11 14:54:00,388.74991,388.75000,388.67001,388.67001,4226
2020-09-11 14:55:00,388.86249,388.91000,388.78000,388.78000,1550
2020-09-11 14:56:00,388.92001,389.51999,388.82001,389.47000,31062
2020-09-11 14:57:00,389.41241,389.41241,389.13000,389.26999,1964
2020-09-11 14:58:00,389.40500,389.40500,389.40500,389.40500,1468
2020-09-11 14:59:00,389.35501,389.48999,389.32999,389.44000,2131
2020-09-11 15:00:00,389.51501,389.57001,389.22000,389.22000,1511
2020-09-11 15:01:00,389.09000,389.16501,388.87000,389.15869,4311
2020-09-11 15:02:00,389.12000,389.54999,389.12000,389.50589,2561
2020-09-11 15:03:00,389.53000,389.60001,389.15500,389.15500,2868
2020-09-11 15:04:00,389.17001,389.50000,389.13000,389.45499,2716
2020-09-11 15:05:00,389.50500,389.56000,389.35501,389.39999,2719
2020-09-11 15:06:00,389.42001,389.42001,389.37500,389.39001,1970
2020-09-11 15:07:00,389.30499,389.30499,389.20999,389.20999,1278
2020-09-11 15:08:00,389.17999,389.42999,389.16000,389.20499,3702
2020-09-11 15:09:00,389.08810,389.08810,388.82001,388.97000,3280
2020-09-11 15:10:00,388.98999,389.00000,388.82001,388.88159,1582
2020-09-11 15:11:00,388.76001,388.84399,388.67001,388.67001,1136
2020-09-11 15:12:00,388.66000,388.66000,388.54001,388.59500,1731
2020-09-11 15:13:00,388.67999,388.67999,388.51999,388.64999,2490
2020-09-11 15:14:00,388.61499,388.79001,388.61499,388.79001,4245
2020-09-11 15:15:00,388.85999,389.10001,388.85999,389.10001,3578
2020-09-11 15:16:00,389.06470,389.06470,388.94000,388.94000,1046
2020-09-11 15:17:00,388.88919,388.88919,388.88919,388.88919,631
2020-09-11 15:18:00,388.98999,389.20001,388.98999,389.17999,4945
2020-09-11 15:19:00,389.23001,389.48999,389.23001,389.48999,5214
2020-09-11 15:20:00,389.42480,389.66000,389.42480,389.60001,1620
2020-09-11 15:21:00,389.73999,389.73999,389.44501,389.51230,2300
2020-09-11 15:22:00,389.69000,389.79999,389.64999,389.73001,2478
2020-09-11 15:23:00,389.73999,389.89499,389.73999,389.89001,2730
2020-09-11 15:24:00,389.67999,389.95499,389.67999,389.95499,734
2020-09-11 15:25:00,389.67001,389.67001,389.48999,389.48999,1875
2020-09-11 15:26:00,389.85999,390.00000,389.85999,390.00000,3190
2020-09-11 15:27:00,389.87000,390.00000,389.87000,389.87000,4612
2020-09-11 15:28:00,390.00000,390.00000,389.78000,389.87000,5249
2020-09-11 15:29:00,389.64999,389.79999,389.64999,389.78000,1411
2020-09-11 15:30:00,389.95001,390.00000,389.82999,389.82999,2903
2020-09-11 15:31:00,389.84500,390.03000,389.84500,390.00009,3342
2020-09-11 15:32:00,390.19000,390.19000,390.19000,390.19000,1631
2020-09-11 15:33:00,390.32999,390.42001,390.14499,390.21500,5433
2020-09-11 15:34:00,390.15500,390.15500,390.08499,390.14001,2085
2020-09-11 15:36:00,390.31921,390.32001,390.06549,390.06549,2563
2020-09-11 15:37:00,389.95999,389.95999,389.76001,389.76999,5116
2020-09-11 15:38:00,389.66000,389.66000,389.66000,389.66000,616
2020-09-11 15:39:00,389.64001,389.73999,389.63000,389.73999,2104
2020-09-11 15:40:00,389.76999,389.76999,389.59000,389.72000,1226
2020-09-11 15:41:00,389.76001,389.76001,389.57999,389.66000,3458
2020-09-11 15:42:00,389.60999,389.63000,389.48001,389.48001,1148
2020-09-11 15:43:00,389.76001,389.90500,389.76001,389.79999,2486
2020-09-11 15:44:00,389.80811,389.84000,389.80811,389.84000,2309
2020-09-11 15:45:00,389.88000,389.89429,389.48001,389.48001,5546
2020-09-11 15:46:00,389.32001,389.70001,389.32001,389.70001,4228
2020-09-11 15:47:00,389.73499,389.94000,389.73499,389.91000,3922
2020-09-11 15:48:00,389.94000,390.10999,389.89001,390.04001,3327
2020-09-11 15:49:00,389.98999,390.04999,389.73001,389.73001,3312
2020-09-11 15:50:00,389.63000,390.17001,389.63000,390.17001,4336
2020-09-11 15:51:00,390.19000,390.19000,389.88000,390.14999,3976
2020-09-11 15:52:00,390.09500,390.41000,390.09500,390.17001,6148
2020-09-11 15:53:00,390.17999,390.37881,389.88000,390.01999,5334
2020-09-11 15:54:00,389.94501,390.12000,389.84000,389.97000,0
2020-09-11 15:55:00,389.97501,389.97501,389.51001,389.51001,7056
2020-09-11 15:56:00,389.44000,389.85001,389.44000,389.80350,6034
2020-09-11 15:57:00,389.81500,389.92001,389.29001,389.31000,6512
2020-09-11 15:58:00,389.37000,389.73001,389.16000,389.42999,17312
2020-09-11 15:59:00,389.48999,389.82001,389.37000,389.38000,21498
2020-09-14 09:30:00,393.70001,393.70001,391.62000,392.62000,0
2020-09-14 09:31:00,392.75000,393.48001,392.54999,393.12000,2269
2020-09-14 09:32:00,393.45001,393.73499,393.20999,393.73499,8202
2020-09-14 09:33:00,393.41000,394.01999,393.16000,393.45999,9225
2020-09-14 09:34:00,393.34000,393.34000,392.19000,392.19000,3087
2020-09-14 09:35:00,392.82001,392.87000,392.38000,392.86499,1853
2020-09-14 09:36:00,392.92001,393.34000,392.92001,393.34000,1836
2020-09-14 09:37:00,393.37500,394.09500,393.37000,394.09500,2947
2020-09-14 09:38:00,393.78000,394.00000,393.75000,393.75000,2626
2020-09-14 09:39:00,394.00000,394.09500,393.14001,393.14001,3540
2020-09-14 09:40:00,393.56500,393.65500,393.39999,393.39999,970
2020-09-14 09:41:00,393.79001,393.83499,393.48001,393.59000,2867
2020-09-14 09:42:00,394.00000,394.35999,393.73010,394.00000,5418
2020-09-14 09:43:00,394.10999,394.23999,393.97000,393.97000,2686
2020-09-14 09:44:00,394.14001,394.26001,393.89001,393.89001,985
2020-09-14 09:45:00,394.12000,394.22000,393.78000,393.94000,4794
2020-09-14 09:46:00,393.78000,393.84000,393.51001,393.84000,3741
2020-09-14 09:47:00,393.98999,394.09500,393.85001,394.09500,1863
2020-09-14 09:48:00,393.95001,393.95001,393.78000,393.87500,3900
2020-09-14 09:49:00,393.53351,393.53351,393.53351,393.53351,579
2020-09-14 09:50:00,393.60999,393.60999,393.48001,393.48001,4767
2020-09-14 09:51:00,393.44000,393.48001,393.42001,393.42001,1333
2020-09-14 09:52:00,393.48999,394.72000,393.48999,394.72000,3343
2020-09-14 09:53:00,394.50000,394.50000,394.15500,394.26001,3981
2020-09-14 09:54:00,394.17999,394.17999,394.17999,394.17999,1530
2020-09-14 09:55:00,394.17999,394.42001,394.01001,394.42001,5241
2020-09-14 09:56:00,394.64999,395.23999,394.64999,395.23999,6549
2020-09-14 09:57:00,395.17001,395.25000,394.87500,394.87500,3253
2020-09-14 09:58:00,394.76001,395.42999,394.57999,394.57999,7493
2020-09-14 09:59:00,394.50000,394.78000,394.24500,394.78000,2624
2020-09-14 10:00:00,394.98001,395.28000,394.98001,395.25000,4902
2020-09-14 10:01:00,395.42999,395.42999,394.97000,395.00751,2554
2020-09-14 10:02:00,394.76999,394.79001,394.51999,394.79001,2619
2020-09-14 10:03:00,395.01999,395.14499,394.91000,394.95999,2524
2020-09-14 10:04:00,395.10999,395.10999,394.67999,394.67999,3622
2020-09-14 10:05:00,394.63000,394.63000,394.32001,394.32001,1457
2020-09-14 10:06:00,394.56000,394.72000,394.56000,394.72000,2927
2020-09-14 10:07:00,395.07001,395.07001,394.88000,394.88000,917
2020-09-14 10:08:00,395.23999,395.65500,395.23999,395.52499,2930
2020-09-14 10:09:00,395.87000,395.87000,395.35001,395.35001,3442
2020-09-14 10:10:00,395.34000,395.59000,395.34000,395.45001,2836
